X,Y
5.0,10.0
10.0,13.0
15.0,41.0
20.0,115.0
25.0,326.0
30.0,675.0
35.0,1113.0
40.0,1528.0
45.0,1692.0
50.0,1530.0
55.0,1122.0
60.0,610.0
65.0,255.0
70.0,86.0
75.0,26.0
80.0,8.0
85.0,2.0
90.0,1.0
95.0,1.0
